gene	loeuf	pli
SV2B	0.631	5.7007e-05
PDDC1	0.631	0.46045
PPARA	0.632	0.030182
PLAT	0.632	5.6593e-05
PSMD8	0.632	0.068806
ARL4C	0.632	0.76081
HEATR5B	0.632	3.066e-22
IL17RA	0.632	0.00035636
MPP3	0.632	3.4521e-06
UTP14C	0.632	0.0053453
CAB39	0.633	0.068013
SLC6A9	0.633	2.1702e-05
VSNL1	0.633	0.45742
HPS4	0.633	0.00013778
LMO1	0.633	0.63546
SLC25A37	0.633	0.27886
PTPRJ	0.634	1.2879e-11
GOLGA7	0.634	0.45619
VRK1	0.634	0.0021149
MKRN3	0.634	0.27756
EN2	0.634	0.63448
FCGR2B	0.634	0.45637
CAMKK1	0.634	0.00033981
ACVR1C	0.634	0.00085157
KPNA5	0.634	0.00013525
MPC2	0.634	0.63515
USP4	0.634	1.6119e-09
FAM53C	0.634	0.067598
BRCA2	0.635	2.3581e-25
MEI1	0.635	4.711e-12
ITGAM	0.635	3.3148e-11
EDN1	0.635	0.45504
PPARG	0.635	0.029194
PRR5	0.635	0.066916
TJP2	0.635	3.236e-11
UNCX	0.635	0.63399
SEMA6C	0.635	1.238e-06
RP5-1052I5.2	0.635	0.066738
ZNF382	0.635	0.029397
THSD7B	0.635	2.6474e-19
COL9A2	0.636	1.0453e-08
HCRTR2	0.636	0.005035
SLC18A3	0.636	0.45355
ALOX5	0.636	1.2059e-06
CALCOCO1	0.636	1.202e-06
SLC25A23	0.636	0.0020617
SLC25A4	0.636	0.45334
TMOD3	0.636	0.06636
SPIN4	0.636	0.75843
TEF	0.636	0.63291
UBC	0.636	0.14161
DOK1	0.636	0.029002
SIL1	0.636	0.012265
RCHY1	0.636	0.066203
TINAGL1	0.636	0.00032933
BGN	0.637	0.45229
UBE2S	0.637	0.63172
HDGF	0.637	0.27272
PPFIA4	0.637	1.9863e-05
SLC1A4	0.637	0.06559
ATRIP	0.637	1.9918e-05
DENND2D	0.637	0.00081369
PRR5L	0.637	0.065457
WDR12	0.637	0.00032559
VSTM2A	0.637	0.27277
GALNT10	0.637	1.987e-05
GDF7	0.638	0.63062
SOCS2	0.638	0.62999
TRHR	0.638	0.2711
TPST2	0.638	0.27109
ABCB11	0.638	1.5612e-12
NR2F6	0.638	0.45111
AMPD2	0.638	4.5084e-07
ANPEP	0.638	3.7492e-09
MPZ	0.638	0.27158
GRM8	0.638	4.5334e-07
KCNG3	0.638	0.27167
PLOD2	0.638	6.6965e-08
SYNGR1	0.638	0.45121
TNNT2	0.638	0.0020041
DHX16	0.638	1.5996e-12
CYC1	0.639	0.13875
GTF2IRD2B	0.639	0.064422
MYCBPAP	0.639	9.491e-09
RP11-1407O15.2	0.639	0.028009
TBCCD1	0.639	0.0019751
GCDH	0.639	0.004856
LGR6	0.639	2.9439e-06
SH3GL1	0.639	0.011714
LRRC8C	0.639	0.00078506
UGT8	0.639	0.027986
CHST14	0.64	0.44727
ICA1L	0.64	0.00077913
LRRK2	0.64	2.5757e-30
PRIMA1	0.64	0.62894
ZDHHC3	0.64	0.027681
POLE	0.64	8.0488e-27
ZBTB26	0.64	0.1378
CNN1	0.64	0.13803
NDST4	0.64	6.3382e-08
GFRA3	0.64	0.027638
GGPS1	0.64	0.26866
SLC6A11	0.64	4.83e-05
RPS27	0.64	0.75663
CYTH4	0.64	0.00077316
AEBP1	0.64	7.3471e-11
RALY	0.64	0.13796
NDUFA9	0.64	0.0047988
LAMB1	0.64	5.0687e-22
MTO1	0.64	7.38e-06
CRKL	0.641	0.44604
GALNT18	0.641	0.00030345
ALG6	0.641	0.00030541
ZBTB6	0.641	0.13693
ARFRP1	0.641	0.13743
CHCHD3	0.641	0.027527
C19orf66	0.641	0.13736
KIAA0195	0.641	2.7548e-14
MESDC2	0.641	0.62773
STK38	0.641	0.00076687
MOG	0.641	0.13748
THOP1	0.641	0.0001213
STARD13	0.641	2.3524e-08
PKP4	0.641	5.269e-13
PNPLA6	0.641	1.94e-13
LAMP2	0.641	0.26698
RGS17	0.641	0.26684
SEMA4A	0.641	1.8394e-05
KREMEN1	0.642	0.011362
CDK4	0.642	0.062909
ZNF2	0.642	0.027216
PTPN13	0.642	1.4172e-25
GOSR1	0.642	0.062823
B4GALT3	0.642	0.011393
IL20RA	0.642	0.027129
STC2	0.642	0.26588
TRIM37	0.642	9.7042e-12
TMEM151B	0.642	0.13582
PACSIN3	0.642	0.0018909
PDIK1L	0.643	0.26436
KLHL7	0.643	4.559e-05
ZNF641	0.643	0.0045726
TNFAIP1	0.643	0.13509
RAB11B	0.643	0.4442
SSTR2	0.643	0.44416
NLE1	0.643	0.0002959
B3GAT1	0.643	0.13521
IL21	0.643	0.6254
TRIM7	0.643	0.02684
KIAA1958	0.643	0.011171
PURB	0.643	0.62543
TNFSF10	0.643	0.13495
TMEM60	0.643	0.75498
PHF10	0.644	0.0002878
USP38	0.644	3.8483e-07
ZBTB48	0.644	0.00011507
SIGLEC10	0.644	6.8352e-06
CHL1	0.644	8.889e-12
CRBN	0.644	0.00028911
LRIG3	0.644	1.1655e-09
SERPINI1	0.644	0.026631
TMEM2	0.644	4.6831e-13
C2CD3	0.644	4.4437e-19
SUDS3	0.644	0.0045448
ELF4	0.644	0.06139
RAD51	0.644	0.026578
MGAT4A	0.644	4.4513e-05
TMEM132E	0.644	4.4887e-05
CACNB3	0.644	0.00028915
AQP3	0.644	0.13398
MPHOSPH9	0.644	1.6616e-10
AP3M1	0.644	0.026524
GALNT7	0.644	2.5907e-06
CELF6	0.645	0.0044515
TMEM56	0.645	0.26127
MYO1G	0.645	4.3609e-10
RGS3	0.645	2.2646e-11
CUEDC2	0.645	0.060805
CLPTM1L	0.645	4.3885e-05
UHRF1BP1	0.645	4.4659e-13
ZBTB14	0.645	0.26111
ACTL6B	0.645	0.00028347
DZIP3	0.645	1.6537e-13
FOS	0.645	0.26176
CDKN1B	0.645	0.62376
RIT1	0.645	0.13281
USP28	0.645	4.5284e-13
LUC7L2	0.645	0.00028277
ARPC1B	0.645	0.010999
DIO3	0.645	0.62331
CP	0.646	4.2013e-10
GZF1	0.646	0.0017798
C14orf93	0.646	0.01085
RRAD	0.646	0.43879
TIMM50	0.646	0.0017835
AC074212.3	0.646	0.0044198
EDC3	0.646	0.026011
ADAMTS7	0.646	2.2517e-14
CENPN	0.646	0.0044226
GPR22	0.646	0.060335
TRIP10	0.646	1.6667e-05
PSKH1	0.646	0.26016
GALNT11	0.646	1.6685e-05
PSME1	0.646	0.13197
CEP250	0.647	9.449e-33
CUBN	0.647	4.6292e-42
RBP3	0.647	0.00010889
PPP1R16A	0.647	0.004389
TCP11L1	0.647	0.0043702
ADAMTSL3	0.647	1.3662e-19
SGOL2	0.647	3.6085e-07
NLRP6	0.647	0.00027432
ZG16	0.647	0.62131
IL1B	0.648	0.13005
LAMC2	0.648	2.8791e-12
SUN2	0.648	1.9389e-08
ITGB4	0.648	9.5287e-19
HIC1	0.648	0.13002
RRN3	0.648	1.618e-05
LPPR5	0.648	0.0593
CXorf57	0.648	0.0002712
SYTL5	0.648	0.00026919
SHC1	0.648	0.0017351
KISS1R	0.648	0.43649
ZNF341	0.648	2.4063e-06
FBXO10	0.648	2.3763e-06
PEX6	0.648	6.253e-06
ARL8B	0.649	0.12959
BAIAP2L1	0.649	0.00010429
TDRD9	0.649	7.2697e-15
ITGB7	0.649	2.3661e-06
ENOX1	0.649	2.3323e-06
WIPI1	0.649	0.0016999
FAM57A	0.649	0.25619
NPHP3	0.649	9.836e-16
SLC25A1	0.649	0.058829
LCA5	0.649	4.0606e-05
COG1	0.649	4.9379e-08
FXYD6	0.649	0.61886
TMEM168	0.649	0.0042658
VPS13B	0.65	2.5029e-45
PPWD1	0.65	3.9819e-05
BCAP31	0.65	0.43366
CALCOCO2	0.65	0.0001027
CCDC80	0.65	6.0008e-06
YES1	0.65	4.0091e-05
ABHD17B	0.65	0.25442
KLHL24	0.65	0.0016745
RHAG	0.65	0.010404
NID1	0.65	7.2197e-12
POLA2	0.65	8.7346e-07
LOXL2	0.65	3.3844e-07
SLC2A3	0.65	0.010333
FGF16	0.65	0.75107
FAM98B	0.65	0.010312
COLCA2	0.651	0.75066
KLHL23	0.651	0.0041626
NTM	0.651	0.057798
ST8SIA2	0.651	0.058099
MEAF6	0.651	0.12785
HTR4	0.651	0.024701
CDCP1	0.651	0.0001002
WNT4	0.651	0.12766
SLC35E1	0.651	0.1273
PLEKHG3	0.651	4.6804e-08
FOLR1	0.652	0.12642
EPOR	0.652	0.0101
TTYH2	0.652	9.9328e-05
EXOC7	0.652	3.2288e-07
TAX1BP1	0.652	1.2061e-07
ZC3HC1	0.652	0.00025557
NBR1	0.652	6.6564e-09
HSPBP1	0.652	0.057208
MED25	0.652	8.4174e-07
NECAP1	0.653	0.12559
UIMC1	0.653	8.2815e-07
PGM3	0.653	1.4641e-05
USP51	0.653	0.12613
CD58	0.653	0.25092
CDS1	0.653	0.00064056
PRMT2	0.653	0.0016132
ABCB9	0.653	0.00025164
T	0.653	0.024262
GATAD1	0.653	0.42971
ALG9	0.653	0.00064044
SMCR8	0.654	0.001598
CSPG5	0.654	0.056186
ACSF2	0.654	1.4241e-05
TRPC6	0.654	3.0274e-07
BMP3	0.654	0.056398
REC8	0.654	5.5411e-06
RABGEF1	0.654	0.00063083
NBEAL1	0.654	5.1093e-33
MTMR2	0.654	3.0351e-07
KCTD7	0.654	0.00063083
KIAA1715	0.655	0.00062151
NHP2L1	0.655	0.74848
SLC7A6	0.655	0.0097291
UBE2E3	0.655	0.42649
IPCEF1	0.655	0.0015595
NOL11	0.655	7.9154e-07
ATP2A3	0.655	2.247e-09
PHB2	0.655	0.0039339
CCIN	0.655	0.12403
MYD88	0.655	0.12443
LAMB2	0.655	2.5006e-19
RAI2	0.656	0.61158
PTPN21	0.656	2.2052e-12
FRMPD1	0.656	2.1898e-12
RNF213	0.656	4.9078e-55
NUDT3	0.656	0.42531
CIRH1A	0.656	7.7093e-07
TAP1	0.656	5.3431e-06
NKAIN1	0.656	0.24678
KLHL5	0.656	5.2757e-06
TCEAL4	0.656	0.74827
CD6	0.656	9.2695e-05
SEMA3D	0.657	4.0219e-08
DPY19L3	0.657	2.8534e-07
ECT2	0.657	8.0837e-10
BRDT	0.657	5.7616e-09
JTB	0.657	0.42432
PHKG2	0.657	0.0038581
DVL2	0.657	1.3576e-05
KCNF1	0.657	0.24593
P4HA2	0.657	1.9699e-06
CREB3L2	0.657	0.0015297
ACTR10	0.658	0.0015053
BEND5	0.658	0.054336
NOTCH2NL	0.658	0.60972
FRAS1	0.658	3.0802e-45
PGM5	0.658	0.00059096
SESN1	0.658	0.00059629
VPS45	0.658	5.094e-06
PELI3	0.658	0.0094922
IL2RA	0.658	0.054709
YPEL1	0.658	0.60986
CASP2	0.658	0.0015026
NTRK1	0.658	1.9568e-06
EHBP1L1	0.659	7.1163e-13
GPR162	0.659	0.0093905
TRIM36	0.659	3.415e-05
SCG3	0.659	0.0014883
TRIM44	0.659	0.053808
TMED4	0.659	0.24339
HOMER2	0.659	0.0093921
PRRX1	0.659	0.24291
TRABD	0.659	0.022862
ENPP4	0.66	0.11941
CCM2	0.66	0.0092809
HOXC13	0.66	0.42048
ANGPTL2	0.66	0.0014712
SOCS3	0.66	0.74613
VASH2	0.66	0.24217
LAT	0.66	0.0092377
GUCD1	0.66	0.24228
TOMM22	0.66	0.60847
COG7	0.661	2.5926e-07
SNX5	0.661	0.001446
PPP1R1B	0.661	0.24098
AQP9	0.661	0.24027
GLRX5	0.661	0.7456
CPT1A	0.661	5.114e-09
TBC1D9B	0.661	5.0231e-12
PRUNE	0.661	0.0091474
DENND3	0.662	1.3007e-11
HSD11B1	0.662	0.41696
PDCD1	0.662	0.41706
C12orf44	0.662	0.60623
MIA2	0.662	0.0014245
PPM1B	0.662	0.0090829
NUP35	0.662	0.022182
FAM117B	0.662	0.0090079
GHR	0.662	8.4385e-05
CDK5RAP2	0.663	4.6171e-23
GLRB	0.663	0.0014157
ZMYM1	0.663	1.317e-08
BMPER	0.663	6.5881e-07
NFE2L2	0.663	0.0035719
TCEB1	0.663	0.74421
MAP2K3	0.663	0.022009
COL8A2	0.663	0.11765
EIF6	0.663	0.2378
USP30	0.663	8.2501e-05
MKRN2	0.664	0.0088248
ZBTB24	0.664	0.00020919
ITGA8	0.664	6.0785e-13
ZNF346	0.664	0.11649
PEX1	0.664	1.0572e-14
CD44	0.664	2.4476e-07
DDX54	0.664	4.7418e-09
RHOA	0.664	0.60405
PPP3R1	0.664	0.41481
SDC3	0.664	0.41455
WDR60	0.665	4.3207e-12
ARHGEF15	0.665	1.66e-06
AFAP1	0.665	2.3828e-07
SAMD1	0.665	0.23605
MYCL	0.665	0.11551
PRPH2	0.665	0.11554
UBE2D3	0.665	0.41278
NKX2-2	0.665	0.41392
TTPAL	0.665	0.116
GOLPH3	0.665	0.23586
ALKBH8	0.666	0.00020414
PIK3C3	0.666	8.4165e-11
HPD	0.666	0.00052764
WARS2	0.666	0.050885
BTBD19	0.666	0.05075
PRELID1	0.666	0.11518
DYNLL2	0.666	0.74311
KCNG2	0.666	0.60183
TRPV6	0.666	6.1719e-07
STARD3	0.666	7.8915e-05
KCNH8	0.666	2.286e-10
PEMT	0.666	0.23456
SLCO2B1	0.667	1.1159e-05
SIDT2	0.667	2.2006e-10
ATP6V0C	0.667	0.74232
CTDSP2	0.667	0.11425
PLS1	0.667	1.1321e-05
FAM73B	0.667	2.959e-05
PRAF2	0.667	0.74236
MFAP4	0.667	0.11416
SLC35F4	0.667	0.0085933
GAPDH	0.667	0.11388
FLVCR1	0.668	0.0013127
DSCC1	0.668	0.0084752
CBX3	0.668	0.40951
RIMS4	0.668	0.23281
DFNB31	0.668	7.6538e-05
WDR92	0.668	0.008485
TRANK1	0.668	2.0096e-25
GBX1	0.668	0.40982
TRIP4	0.668	5.9901e-07
UTP6	0.668	3.113e-08
SLC13A5	0.669	0.00050598
FAM43A	0.669	0.40754
TMEM189	0.669	0.0083949
TMEM189-UBE2V1	0.669	0.0083949
CNEP1R1	0.669	0.40866
PPP1R18	0.669	0.00050298
MXD1	0.669	0.23163
EID3	0.669	0.40761
UBA52	0.67	0.59849
KRT2	0.67	0.0012882
ZNF653	0.67	0.0012866
ISL2	0.67	0.11148
SKAP2	0.67	0.0012836
KCNS1	0.67	0.11183
CA8	0.67	0.0082516
TRIP6	0.67	0.0032632
CLEC2D	0.67	0.23009
EMC2	0.67	0.003297
C12orf4	0.67	1.0655e-05
SCAND3	0.671	3.9877e-09
PICK1	0.671	0.0081806
RAB21	0.671	0.1111
FOXO6	0.671	0.40546
HSPA2	0.671	0.048648
MLST8	0.671	0.0082177
TINF2	0.671	0.0012666
BIVM	0.672	0.00018694
DRAM1	0.672	0.22771
UCHL5	0.672	0.0012557
RNF128	0.672	0.22826
OR10C1	0.672	0.73963
SUPT7L	0.672	0.048542
RECK	0.672	1.9319e-10
MLX	0.672	0.11032
SZRD1	0.672	0.59651
SDC2	0.672	0.4049
CRLF3	0.673	0.00047973
TUBGCP5	0.673	1.2275e-12
THOC6	0.673	0.00047835
PNO1	0.673	0.22652
MED30	0.673	0.40259
TCEAL3	0.673	0.73954
DNAH11	0.674	2.5389e-58
IFRD1	0.674	0.0012141
C5orf42	0.674	5.8778e-36
CPAMD8	0.674	6.9237e-23
TUBB4A	0.674	0.1091
DHRS3	0.674	0.22581
KCNK10	0.674	0.0031431
TMEM121	0.674	0.59413
BRAP	0.674	3.7512e-06
ZSCAN18	0.674	0.047469
CDCA7L	0.675	0.00017861
GUCY1B3	0.675	2.5834e-05
DHH	0.675	0.22445
DHX57	0.675	9.0569e-16
ERCC6L2	0.675	5.0596e-07
DNAH8	0.675	1.1489e-60
MTMR10	0.675	1.8913e-07
TMOD2	0.675	0.019553
CDAN1	0.675	1.1134e-12
TESC	0.675	0.10778
CA7	0.675	0.10796
LRRFIP1	0.675	0.019511
INPP5E	0.675	0.0031048
NCBP2	0.675	0.39994
VTI1B	0.675	0.10836
RABGGTB	0.675	0.007867
GORASP1	0.675	0.019543
ZBTB3	0.676	0.019277
HBS1L	0.676	1.8606e-07
TFCP2	0.676	3.5836e-06
LDB3	0.676	9.5733e-06
FAM118B	0.676	0.019345
EVX2	0.676	0.39955
LRCH4	0.676	1.3453e-06
RRBP1	0.676	2.2851e-11
PDPR	0.676	9.3527e-09
RP11-766F14.2	0.677	9.3027e-09
GPR174	0.677	0.39757
RPF2	0.677	0.046405
CENPP	0.677	0.046312
DENND1C	0.677	1.325e-06
MTX2	0.677	0.019208
MAT2B	0.677	0.046226
FOXA1	0.677	0.22227
VPS13C	0.677	7.6491e-49
ALKBH6	0.677	0.10641
GPAM	0.677	1.2373e-09
KCNK2	0.677	0.019089
SCYL1	0.677	2.5187e-08
EXTL3	0.677	2.5023e-05
CCDC168	0.678	1.2813e-06
DHX33	0.678	9.1366e-06
DYNC1I1	0.678	1.7637e-07
DDIT3	0.678	0.59066
KRT31	0.678	0.0075531
GOT1	0.678	0.0011573
CDK11B	0.678	6.4813e-05
SF3B14	0.679	0.58902
SLC30A9	0.679	4.6685e-07
WSCD1	0.679	6.3576e-05
NSMAF	0.679	7.6425e-12
SLC12A4	0.679	2.0528e-11
C2CD2	0.679	9.0642e-06
SEMA3E	0.679	8.7148e-09
SP100	0.679	2.7583e-12
MOS	0.679	0.58928
MUC1	0.679	0.018774
SLAMF6	0.679	0.018712
SASS6	0.679	1.7379e-07
AGBL5	0.679	2.3696e-08
DLX5	0.68	0.21842
WDR24	0.68	2.3533e-05
STUB1	0.68	0.018667
ETFA	0.68	0.0029217
PKP3	0.68	6.283e-05
TSPAN31	0.68	0.21925
HTR7	0.68	0.045409
DIEXF	0.68	1.2381e-06
SEPT4	0.68	0.00016597
CCNA1	0.68	0.00043117
STON2	0.68	0.00016537
SLC2A4RG	0.68	0.21856
MYO1C	0.68	1.639e-14
COX4I1	0.68	0.39416
FAM83B	0.68	6.3264e-08
HIATL1	0.68	0.00043286
LRIF1	0.68	0.00043397
ZDHHC16	0.68	0.00016495
CLK4	0.681	6.1931e-05
IDNK	0.681	0.39322
MLTK	0.681	8.4166e-09
PKHD1	0.681	1.1657e-47
TIMM17A	0.681	0.21724
COMMD9	0.681	0.39357
APCDD1	0.681	0.0073159
GPR19	0.681	0.10405
PCNXL2	0.681	1.7151e-23
RNF14	0.681	0.0011129
POU1F1	0.681	0.045046
ADCY3	0.681	1.9545e-11
SNAI1	0.681	0.21754
DARS	0.682	8.536e-06
ACKR3	0.682	0.39134
TLE2	0.682	1.643e-07
LIG3	0.682	1.439e-10
UBXN2B	0.682	0.10316
TUBGCP2	0.682	2.2003e-08
PTCHD4	0.682	0.00016171
SCMH1	0.682	8.6107e-06
TRIM66	0.682	6.9399e-12
RAB22A	0.682	0.10273
BARX1	0.683	0.58571
ADAMTS13	0.683	5.1409e-15
ZNF625	0.683	0.73415
RAB9B	0.683	0.7343
TMX4	0.683	0.044153
ZNF189	0.683	0.0010884
PHF7	0.683	0.0010828
CDCA8	0.683	0.0071651
CLUAP1	0.683	0.0004184
ARPC3	0.683	0.21578
SLC48A1	0.683	0.7342
TOP3A	0.683	5.0983e-11
ATP1B3	0.683	0.10244
RUFY1	0.684	2.1203e-08
ZNF821	0.684	0.0027859
GPSM1	0.684	2.2075e-05
VPS39	0.684	1.7834e-11
SMO	0.684	4.2771e-07
LGI4	0.684	0.0071501
SSR2	0.684	0.21478
ACTR1B	0.684	0.0010746
NHLRC2	0.684	8.3194e-06
ANKRD34C	0.684	0.21455
E2F6	0.684	0.10158
COPS7A	0.685	0.043607
LGMN	0.685	0.00040535
PAG1	0.685	0.017764
CTTNBP2NL	0.685	0.0027461
DNASE1L1	0.685	0.38833
ERBB3	0.685	1.7003e-15
RASSF5	0.685	0.043347
TLE6	0.685	3.0216e-06
WNT2	0.685	0.017811
C15orf57	0.685	0.3877
SERPINE1	0.685	0.043609
SLC16A9	0.685	0.007078
TACC2	0.685	4.819e-24
IL10RA	0.685	0.017808
CCR1	0.685	0.38775
KIAA1841	0.685	7.5851e-09
KIF20B	0.686	3.7396e-23
HS3ST2	0.686	0.10028
MICAL2	0.686	2.1766e-12
LHX4	0.686	0.017521
CASP3	0.686	0.10017
SREK1IP1	0.686	0.3871
PRSS8	0.686	0.10007
IQCA1	0.686	2.6856e-09
GAR1	0.686	0.10049
MYH2	0.686	3.6703e-23
TGM3	0.686	2.9739e-06
PPP1R21	0.686	1.3024e-10
HPSE2	0.686	0.00015083
ZNF79	0.686	0.0069622
ZGLP1	0.686	0.3868
OGDHL	0.686	9.6942e-10
CAMK1G	0.686	0.00039801
PFN1	0.686	0.73258
FOXD3	0.687	0.58216
PPIP5K1	0.687	0.0026969
PANK1	0.687	0.0026757
MB21D2	0.687	0.042673
AZI2	0.687	0.0069113
HDAC11	0.687	0.0069318
DNAH10	0.687	1.3846e-57
FGF18	0.687	0.38517
IL16	0.687	1.2449e-10
BARX2	0.687	0.21157
PODXL	0.687	0.0010333
TEC	0.687	5.3575e-08
NUP88	0.687	1.9577e-08
IPP	0.687	2.0966e-05
SPRED3	0.687	0.21151
TRADD	0.687	0.099502
FAM8A1	0.687	0.017471
SNTB1	0.688	0.0010263
OLFM3	0.688	0.0010163
TBX6	0.688	0.0068128
TTC40	0.688	1.0615e-33
IL17RD	0.688	1.053e-06
ZAR1L	0.688	0.099305
RP11-508N12.4	0.688	0.73168
MAFG	0.688	0.73176
ADAMTS12	0.688	2.4806e-17
MYO5B	0.688	3.3805e-23
CHMP1B	0.688	0.73182
BACE2	0.689	0.0067632
GPATCH1	0.689	1.5481e-11
GPI	0.689	2.8385e-06
MLK4	0.689	1.0441e-06
STRADB	0.689	0.0010128
LARP1B	0.689	1.5265e-11
DSC2	0.689	5.1749e-08
MAP4K2	0.689	1.5422e-11
PHACTR2	0.689	1.0378e-06
PHACTR4	0.689	2.8359e-06
TONSL	0.689	2.5965e-13
CCRN4L	0.689	0.042105
ZFYVE16	0.689	2.5587e-13
GDPD1	0.689	0.0026188
ATP9B	0.689	1.1822e-14
ZNF527	0.689	0.0010036
DOC2A	0.69	0.0067028
DTX1	0.69	0.00098982
ZNF48	0.69	0.0066783
GFRA2	0.69	0.097532
RNF11	0.69	0.57873
HSPA13	0.69	0.016897
WRAP53	0.69	5.3544e-05
LFNG	0.69	0.097612
NDE1	0.69	0.0066921
FAM131A	0.69	0.0066732
PRIM1	0.69	0.0009938
ZDHHC2	0.69	0.0010008
ZNF8	0.69	0.016971
LAMA3	0.691	8.8349e-46
SYNJ2	0.691	8.5042e-14
CHURC1-FNTB	0.691	5.3295e-05
MTMR14	0.691	1.3607e-07
TPCN2	0.691	3.1241e-10
C5orf24	0.691	0.73025
C14orf39	0.691	2.7282e-06
SLC9A5	0.691	1.7991e-08
LNX2	0.691	7.3132e-06
TPM3	0.691	0.0066522
FAM3C	0.691	0.096904
CSF3	0.691	0.38046
FCGRT	0.691	0.041493
OTOA	0.692	3.0274e-10
CACNB2	0.692	2.6719e-06
TNNI3	0.692	0.096284
ACVRL1	0.692	0.00096719
POLD2	0.692	0.00097201
CERS1	0.692	0.096618
HPS1	0.692	1.3245e-07
CCDC121	0.692	0.72977
VARS2	0.692	5.8321e-17
DAPK3	0.692	0.0065541
PPAP2A	0.692	0.096417
KIAA1024	0.692	1.9551e-05
MRPS5	0.693	0.00036306
ZMYM6	0.693	6.2703e-13
ARL14EP	0.693	0.37864
RMDN3	0.693	5.1687e-05
BIVM-ERCC5	0.693	1.2783e-15
HRH3	0.693	0.04081
ZBTB40	0.693	1.0543e-10
SALL2	0.693	0.00013767
ALPL	0.693	0.0003636
FAM185A	0.693	0.040688
TBPL1	0.693	0.37902
SCRN1	0.694	0.002489
SLITRK2	0.694	0.0064131
TREX1	0.694	0.57528
TXNDC9	0.694	0.37701
EVA1B	0.694	0.72896
TCEAL5	0.694	0.72911
ANKS6	0.694	6.9447e-06
CPT1C	0.694	2.1926e-09
GPER1	0.695	0.57434
IFFO1	0.695	0.00013393
C9orf41	0.695	0.0024568
DNAH5	0.695	4.8607e-64
MTUS1	0.695	3.579e-11
C5	0.695	8.079e-24
STC1	0.695	0.20364
ACER2	0.695	0.040225
RIOK2	0.695	0.00013402
POU3F4	0.695	0.5746
PROSC	0.696	0.03972
ISM1	0.696	0.0062863
MUC13	0.696	0.0024356
NPHS1	0.696	2.5376e-14
OSBPL10	0.696	3.3256e-07
STOML2	0.696	0.0024144
TMEM246	0.696	0.093873
UBAC2	0.696	0.0062623
PTPRQ	0.696	4.2188e-21
ARL1	0.696	0.093716
TTLL4	0.696	5.6814e-13
HABP4	0.697	0.0062064
ATXN10	0.697	0.00034514
TRAPPC13	0.697	0.0024066
PSME2	0.697	0.015838
PLEKHA3	0.697	0.015972
TBC1D8	0.697	5.5998e-13
KCTD2	0.697	0.20119
FAM63B	0.698	1.7641e-05
MUSK	0.698	4.2474e-08
KMO	0.698	4.7825e-05
RUNDC1	0.698	0.0023691
SIRT6	0.698	0.039119
GNB4	0.698	0.0023672
SKP1	0.698	0.37294
NACA	0.698	4.7299e-05
SPATA20	0.698	1.9878e-09
CD226	0.698	0.03921
PBDC1	0.698	0.57162
DEAF1	0.698	0.00034113
ATF6	0.698	3.2333e-07
PRSS56	0.698	0.00034082
GLRA3	0.698	1.7764e-05
PTPRR	0.698	8.7415e-07
BMP5	0.698	0.00090084
GPT2	0.698	0.00034046
FAM78A	0.698	0.37254
JAM2	0.698	0.006155
CLMN	0.698	1.5344e-08
BTF3L4	0.698	0.57136
MED24	0.698	3.3214e-11
PCBP4	0.698	0.0023713
SAV1	0.698	0.00090373
FAM189A1	0.698	0.039333
FILIP1	0.698	2.5711e-10
PALMD	0.698	0.00033855
MSH5	0.699	3.2035e-11
GABRA3	0.699	0.038786
HTR1A	0.699	0.19956
UBE2W	0.699	0.092355
SLC5A12	0.699	8.5695e-07
PDE1C	0.699	5.3913e-09
HMX1	0.699	0.72623
TBC1D1	0.699	1.8584e-13
RRM2B	0.699	0.002357
MFSD4	0.699	0.0023547
SAR1A	0.699	0.37178
HOXA2	0.699	0.19917
NDC80	0.699	1.1423e-07
INTS4	0.7	1.1349e-11
TPK1	0.7	0.09146
KCNIP2	0.7	0.015425
MIOS	0.7	1.8944e-09
IFNGR1	0.7	0.015503
AFG3L2	0.7	5.2511e-09
ATF6B	0.7	3.1036e-07
BEND7	0.7	0.0060711
TRIM35	0.7	0.00087781
GPD1L	0.701	0.038201
STMN4	0.701	0.090756
CPSF3	0.701	3.0292e-07
GNA15	0.701	0.0059721
TBC1D2B	0.701	1.438e-08
ENTPD5	0.701	4.554e-05
THPO	0.701	0.19714
KATNA1	0.701	1.6782e-05
BORA	0.701	0.00032563
SLC9A3R2	0.701	0.038353
FBXO9	0.701	0.00012166
GPR63	0.701	0.19747
PCYT2	0.702	0.0008643
SBK1	0.702	0.36812
WDR96	0.702	1.3459e-22
SLC27A4	0.702	4.4885e-05
GJD2	0.702	0.19681
UBE2B	0.702	0.19663
TRPC3	0.702	1.0806e-07
CARF	0.703	8.0424e-07
SIGLEC6	0.703	0.0058774
SIKE1	0.703	0.19572
TMBIM6	0.703	0.015024
REEP3	0.703	0.015097
DGKQ	0.703	1.7603e-09
NCOA4	0.703	2.2037e-06
NT5C3A	0.703	0.015053
ADAMTS5	0.703	8.0325e-07
KCNIP3	0.703	0.037604
MSMO1	0.703	0.089971
RP1	0.704	4.415e-13
SFN	0.704	0.36544
EBF4	0.704	0.0003154
TAL1	0.704	0.5659
C14orf80	0.704	0.014935
ARHGEF28	0.704	8.1044e-21
MYO1D	0.704	1.2784e-12
B4GALT1	0.704	0.037435
PAWR	0.704	0.089515
NT5C2	0.704	2.1385e-06
